evaluator,failure_auroc,failure_auprc,precision_at_0.5,recall_at_0.5,f1_at_0.5,tn,fp,fn,tp
Trust Model (Random Forest),0.8668787856410256,0.5708062534752689,0.6359918200408998,0.3317333333333333,0.43603224675779884,7769,356,1253,622
Trust Model (Uncalibrated),0.8617954461538462,0.5701227724347407,0.6341013824884792,0.36693333333333333,0.4648648648648649,7728,397,1187,688
Trust Model (Calibrated),0.8617890789743589,0.5700097881820285,0.6338951310861424,0.36106666666666665,0.4600747536527353,7734,391,1198,677
Raw Confidence,0.8561221251282052,0.5350569929970956,0.6089965397923875,0.2816,0.3851203501094092,7786,339,1347,528
Prediction Entropy,0.8520984943589743,0.5183346179818824,0.4167564655172414,0.8250666666666666,0.5537855736531233,5960,2165,328,1547
Augmentation Consistency,0.7413170543589744,0.5435641196713554,0.6547619047619048,0.264,0.37628278221208666,7864,261,1380,495
Feature Distance,0.5562002051282051,0.1987036918255648,0.1875,1.0,0.3157894736842105,0,8125,0,1875
OOD Energy Score,0.5017731938461538,0.19555272654334585,0.0,0.0,0.0,8125,0,1875,0
