evaluator,ece,brier_score
Raw Confidence,0.032131354282796384,0.11307229101657867
Trust Model (Uncalibrated),0.033858149218559265,0.11089204251766205
Trust Model (Calibrated),0.03538820387870073,0.11084777861833572
Trust Model (Random Forest),0.012148726618289946,0.10774388164281845
